Year,Country,rgdpo,emp,avh,hc,cn
1990,USA,9978170.00,123.05,1795.57,3.44,38181020.00
1991,USA,9939456.00,121.57,1787.34,3.45,38943404.00
1992,USA,10301173.00,121.80,1774.88,3.47,39749448.00
1993,USA,10602463.00,123.12,1789.95,3.49,40619168.00
1994,USA,11054640.00,125.69,1807.83,3.50,41576692.00
1995,USA,11361680.00,127.46,1817.47,3.52,42588924.00
1996,USA,11815750.00,129.36,1823.52,3.53,43715280.00
1997,USA,12360252.00,132.36,1828.49,3.54,44934620.00
1998,USA,12924324.00,134.50,1839.20,3.56,46303492.00
1999,USA,13526821.00,136.76,1841.33,3.57,47787512.00
2000,USA,14095967.00,138.64,1844.85,3.58,49329068.00
2001,USA,14205419.00,138.65,1823.66,3.59,50696672.00
2002,USA,14396938.00,138.15,1806.69,3.60,51888828.00
2003,USA,14799683.00,138.69,1790.84,3.61,53147924.00
2004,USA,15372598.00,140.27,1789.53,3.62,54536708.00
2005,USA,15920553.00,142.49,1787.01,3.63,56048904.00
2006,USA,16386528.00,145.09,1787.35,3.64,57539900.00
2007,USA,16702365.00,146.40,1785.88,3.66,58882244.00
2008,USA,16671577.00,146.23,1765.77,3.67,59952004.00
2009,USA,16195003.00,141.22,1728.61,3.69,60486828.00
2010,USA,16651722.00,140.71,1735.01,3.70,61035260.00
2011,USA,16943864.00,142.15,1744.91,3.71,61657100.00
2012,USA,17382956.00,144.59,1746.86,3.71,62424364.00
2013,USA,17764046.00,145.98,1752.53,3.72,63225060.00
2014,USA,18244220.00,148.22,1758.27,3.72,64118460.00
2015,USA,18785358.00,150.25,1770.02,3.73,65053528.00
2016,USA,19095196.00,152.40,1766.74,3.73,65971316.00
2017,USA,19542980.00,154.67,1763.73,3.74,66940280.00
2018,USA,20155260.00,156.68,1774.70,3.74,68005664.00
2019,USA,20595844.00,158.30,1765.35,3.75,69059488.00
1990,UK,1445536.75,26.70,1745.94,3.20,4052509.50
1991,UK,1401682.75,25.99,1720.55,3.23,4235582.50
1992,UK,1399794.88,25.37,1714.33,3.26,4437697.50
1993,UK,1438639.75,25.14,1710.32,3.29,4638598.00
1994,UK,1479402.13,25.35,1720.59,3.32,4939055.50
1995,UK,1626361.00,25.67,1722.63,3.35,5152430.50
1996,UK,1724950.00,25.92,1722.09,3.38,5453878.00
1997,UK,1829166.38,26.41,1721.20,3.41,6110673.50
1998,UK,1879454.63,26.69,1717.00,3.44,6148160.50
1999,UK,1958917.88,27.07,1708.61,3.48,6006644.00
2000,UK,2075158.75,27.38,1692.95,3.51,5987333.00
2001,UK,2121908.25,27.60,1695.98,3.53,5899284.00
2002,UK,2123617.00,27.80,1678.56,3.55,5825548.50
2003,UK,2166739.25,28.06,1669.38,3.57,5956338.00
2004,UK,2220801.25,28.35,1666.72,3.59,6250317.50
2005,UK,2377112.25,28.67,1669.74,3.61,6797018.00
2006,UK,2415816.25,29.00,1663.99,3.62,7366976.00
2007,UK,2412173.50,29.32,1665.82,3.64,7667142.00
